,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location ,Location Good,Date Occurred (datetime),Zip Code
1663782,181104604,01/16/2018,01/15/2018,1800,11,Northeast,1129,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 1814 1243,27.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,200 N  AVENUE 66,,"(34.1148, -118.179)",True,2018-01-15,90042
1696230,180706963,03/05/2018,03/04/2018,1300,7,Wilshire,736,510,VEHICLE - STOLEN,,17.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,400 S  DETROIT                      ST,,"(34.0669, -118.3451)",True,2018-03-04,90036
1672285,180605302,01/24/2018,01/24/2018,1630,6,Hollywood,669,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,AA,Adult Arrest,510.0,,,,1200 N  KINGSLEY                     DR,,"(34.0933, -118.3025)",True,2018-01-24,90029
1694208,182006698,02/19/2018,02/19/2018,830,20,Olympic,2053,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344,54.0,F,K,101.0,STREET,,,IC,Invest Cont,331.0,,,,3200 W  OLYMPIC                      BL,,"(34.0526, -118.3063)",True,2018-02-19,90006
1675018,181805720,01/31/2018,01/30/2018,1500,18,Southeast,1861,354,THEFT OF IDENTITY,0100 0928,25.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,700 W  115TH                        ST,,"(33.9298, -118.287)",True,2018-01-30,90044
1675545,182105220,01/26/2018,01/25/2018,2300,21,Topanga,2105,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,29.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,8600    INTERNATIONAL                AV,,"(34.2258, -118.5994)",True,2018-01-25,91304
1676887,180405498,02/04/2018,02/04/2018,15,4,Hollenbeck,473,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407,17.0,M,X,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,753.0,998.0,,,900 S  BREED                        ST,,"(34.0349, -118.2169)",True,2018-02-04,90023
1668750,181205628,01/21/2018,01/21/2018,1100,12,77th Street,1208,310,BURGLARY,0344 0329 1601,57.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,500 W  50TH                         ST,,"(33.9974, -118.2827)",True,2018-01-21,90037
1664567,181405016,01/18/2018,01/17/2018,2000,14,Pacific,1456,510,VEHICLE - STOLEN,,17.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4300    INGLEWOOD                    BL,,"(33.9968, -118.4207)",True,2018-01-17,90066
1665266,181805008,01/19/2018,01/18/2018,1755,18,Southeast,1844,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,54.0,M,O,242.0,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",,,IC,Invest Cont,442.0,,,,11100    AVALON                       BL,,"(33.9348, -118.2652)",True,2018-01-18,90061
